pair,nearest_centroid_acc,mean_within_dist,sep_ratio_between_over_within
PC1 vs PC2,0.291,5.805879107820122,0.5098891399728311
PC2 vs PC3,0.317,5.103574316457426,0.5339567824687014
PC3 vs PC4,0.465,3.8507143050380463,1.271199602195797
PC1 vs PC3,0.417,4.758744884519521,1.0496358088006446
PC1 vs PC5,0.354,4.8542194565312675,0.6977995432652934
